MEAN_PM25_AVG,GEOID,Median_age,Median_age___Male,Median_age___Female,Estimate__Total,area1,percent1,area4,percent4,MEAN_gridcode,,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,Hispanic_or_Latino,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Other
7.516025833,261635011001.00,43.1,48.5,43.1,386,97173.18236,41.04079514,616.1983578,0.260249484,1416443.471,,0.177304965,0,0.063829787,0,0.056737589,0.212765957,0.163120567,0,0,0.19858156,0.127659574,0,0,0,0,0,0.034615385,0,0,0,0,0,0,0,0,0,0,0,0.030769231,0.153846154,0.138461538,0.192307692,0,0.2,0.138461538,0.019230769,0.034615385,0.057692308,0,0,0,0,1,0,0,0,0
7.516025833,261635011002.00,43.6,38.5,44.6,514,77540.91622,33.42443871,899.9998927,0.387949907,1228773.636,,0.247706422,0.151376147,0.04587156,0.02293578,0.04587156,0,0,0.165137615,0.133027523,0,0,0.188073394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04494382,0.025280899,0.154494382,0.404494382,0,0,0.241573034,0.092696629,0,0.036516854,0,0,0,0,1,0,0,0,0
7.516025833,261635011003.00,46.4,46.5,46.2,319,37926.41739,14.14233856,3276.083069,1.221614882,29400304.25,,0.238461538,0.223076923,0,0.215384615,0,0,0,0,0.107692308,0,0.107692308,0,0,0,0.107692308,0,0,0,0,0,0,0,0,0,0,0,0.044117647,0.049019608,0,0.093137255,0,0.509803922,0.004901961,0.004901961,0.137254902,0.093137255,0,0.06372549,0,0,0.006269592,0.006269592,0.909090909,0,0,0,0.128526646
7.516025833,261635011004.00,27.7,26.4,31.7,995,82521.88126,33.04325239,7182.888286,2.876158262,3195289.111,,0.08913649,0.13091922,0.278551532,0,0.197771588,0.04178273,0,0,0.072423398,0.105849582,0.022284123,0.061281337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018835616,0.023972603,0.056506849,0.063356164,0.015410959,0.25,0.241438356,0.162671233,0.121575342,0.020547945,0,0,0.025684932,0,0.07638191,0.061306533,0.938693467,0,0,0,0
7.516025833,261635011005.00,22.1,17.7,38.1,672,131861.22,52.99039276,,,3610421.565,,0.354978355,0,0,0.051948052,0.108225108,0.082251082,0.125541126,0.12987013,0.051948052,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194719472,0,0,0.089108911,0.089108911,0.369636964,0,0.03960396,0.217821782,0,0,0,0,0,0.084821429,0,1,0,0,0,0
7.516025833,261635012001.00,27.3,26.5,29,968,121651.1843,27.640249,6229.039373,1.415294066,26762712.3,,0.248484848,0.096969697,0.06969697,0.112121212,0.015151515,0.093939394,0.090909091,0.024242424,0.060606061,0.027272727,0.075757576,0.084848485,0,0,0,0,0.01663586,0,0,0,0,0,0,0,0.020332717,0.007393715,0,0,0.04805915,0.116451017,0.033271719,0.408502773,0.011090573,0.15896488,0.138632163,0.040665434,0,0,0,0,0,0.005165289,0.994834711,0,0,0,0
7.516025833,261635012002.00,36.1,41.5,34.7,680,79298.97699,32.0529281,1800.001175,0.727566867,1422954.095,,0.013513514,0.058558559,0.189189189,0.085585586,0.054054054,0.103603604,0.045045045,0.13963964,0.058558559,0.045045045,0.094594595,0.09009009,0,0,0,0.022522523,0.019067797,0,0.008474576,0,0,0,0,0,0,0,0,0,0.072033898,0.120762712,0.036016949,0.188559322,0.228813559,0.01059322,0.199152542,0.069915254,0.012711864,0.023305085,0,0.01059322,0,0.023529412,0.939705882,0,0,0,0.073529412
7.516025833,261635013001.00,34.7,35.6,34.5,497,46526.28723,22.54647611,6876.341237,3.33225092,24446082.04,,0.060606061,0,0.325757576,0,0.272727273,0,0.083333333,0,0,0,0,0.045454545,0.212121212,0,0,0,0.10738255,0,0,0,0,0,0,0,0,0,0,0,0,0.140939597,0.053691275,0.194630872,0.070469799,0.046979866,0.161073826,0.05704698,0.154362416,0.013422819,0,0,0.020120724,0,0.983903421,0,0,0,0.032193159
7.516025833,261635013002.00,50.4,43.9,50.4,279,66594.49914,30.39549685,6695.736185,3.056111702,1402732.35,,0,0,0,0,0.098901099,0,0.516483516,0.10989011,0,0,0,0,0,0.274725275,0,0,0,0,0,0,0,0,0,0,0,0.026431718,0,0,0.149779736,0.149779736,0,0.246696035,0.039647577,0.044052863,0.220264317,0,0.101321586,0.022026432,0,0,0.021505376,0.021505376,0.978494624,0,0,0,0
7.516025833,261635013003.00,29.2,37.3,29.1,680,60143.4719,27.67415868,,,1369193.909,,0.309803922,0.08627451,0,0,0,0.054901961,0.08627451,0.098039216,0.054901961,0.019607843,0.117647059,0.17254902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038251366,0.31147541,0.106557377,0.172131148,0.196721311,0.112021858,0.06284153,0,0,0,0,0.047058824,0.952941176,0,0,0,0
