Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races",GEO_ID
1123,654,277,6,16,0,152,18,10,8,1500000US261635211002
889,264,602,0,0,0,23,0,0,0,1500000US261635213001
1147,540,472,0,15,0,101,19,13,6,1500000US261635214001
679,313,360,0,6,0,0,0,0,0,1500000US261635215001
835,22,787,0,0,0,23,3,0,3,1500000US261635215002
1625,114,1446,0,21,0,19,25,0,25,1500000US261635218001
785,480,250,0,55,0,0,0,0,0,1500000US261635219001
1194,0,1194,0,0,0,0,0,0,0,1500000US261635219002
1126,628,351,0,18,0,26,103,37,66,1500000US261635219003
1936,62,1820,10,11,0,16,17,0,17,1500000US261635220001
237,0,237,0,0,0,0,0,0,0,1500000US261635221001
425,85,340,0,0,0,0,0,0,0,1500000US261635221002
242,0,198,0,0,0,0,44,0,44,1500000US261635222001
148,28,117,3,0,0,0,0,0,0,1500000US261635222002
290,16,243,0,0,0,0,31,0,31,1500000US261635223001
976,21,949,0,0,0,0,6,0,6,1500000US261635223002
151,6,136,2,7,0,0,0,0,0,1500000US261635224001
821,87,717,0,6,0,0,11,6,5,1500000US261635224002
528,47,446,0,0,0,20,15,15,0,1500000US261635225001
639,104,525,0,5,0,0,5,0,5,1500000US261635225002
605,151,427,9,0,0,0,18,0,18,1500000US261635225003
1480,945,180,0,16,6,313,20,20,0,1500000US261635231001
1848,1206,35,38,0,0,508,61,34,27,1500000US261635232001
2108,768,77,34,0,0,1051,178,73,105,1500000US261635232002
831,237,397,0,0,0,197,0,0,0,1500000US261635233001
1761,1096,9,0,0,0,656,0,0,0,1500000US261635233002
758,301,11,0,0,0,437,9,0,9,1500000US261635233003
1115,545,213,82,20,0,176,79,0,79,1500000US261635234001
997,508,321,0,0,0,146,22,22,0,1500000US261635234002
811,686,63,0,0,0,62,0,0,0,1500000US261635238001
639,559,23,0,0,0,57,0,0,0,1500000US261635238002
1091,587,24,0,0,0,407,73,0,73,1500000US261635238003
2142,768,470,0,0,0,780,124,85,39,1500000US261635238004
1408,629,157,0,0,0,572,50,43,7,1500000US261635240001
494,297,46,0,0,0,142,9,9,0,1500000US261635240002
1410,456,86,0,0,0,868,0,0,0,1500000US261635240003
719,222,117,0,0,0,324,56,43,13,1500000US261635241001
955,428,0,0,0,0,527,0,0,0,1500000US261635241002
1338,740,185,79,29,0,286,19,0,19,1500000US261635241003
683,114,149,15,0,0,405,0,0,0,1500000US261635241004
1239,651,73,0,0,0,486,29,29,0,1500000US261635242001
637,198,11,7,0,0,382,39,0,39,1500000US261635242002
587,135,0,0,0,0,452,0,0,0,1500000US261635242003
707,533,0,0,0,0,156,18,0,18,1500000US261635242004
1078,628,67,50,1,0,332,0,0,0,1500000US261635242005
1131,705,250,0,0,0,176,0,0,0,1500000US261635242006
668,440,0,7,0,0,209,12,12,0,1500000US261635243001
1237,726,119,8,0,0,329,55,27,28,1500000US261635243002
999,565,17,4,0,0,374,39,36,3,1500000US261635243003
32,32,0,0,0,0,0,0,0,0,1500000US261635245001
81,72,9,0,0,0,0,0,0,0,1500000US261635245002
293,0,272,0,0,0,0,21,0,21,1500000US261635247001
776,15,729,0,0,0,0,32,11,21,1500000US261635247002
704,0,704,0,0,0,0,0,0,0,1500000US261635247003
527,0,517,0,0,0,0,10,0,10,1500000US261635247004
617,66,477,0,0,0,74,0,0,0,1500000US261635247005
1016,252,489,0,0,0,275,0,0,0,1500000US261635247006
552,217,324,0,0,0,11,0,0,0,1500000US261635248001
666,141,525,0,0,0,0,0,0,0,1500000US261635248002
435,14,346,0,0,0,12,63,58,5,1500000US261635248003
242,0,242,0,0,0,0,0,0,0,1500000US261635248004
737,24,713,0,0,0,0,0,0,0,1500000US261635248005
749,519,102,0,0,0,128,0,0,0,1500000US261635249001
430,221,43,0,0,0,166,0,0,0,1500000US261635249002
0,0,0,0,0,0,0,0,0,0,1500000US261635250001
411,166,206,0,0,0,0,39,0,39,1500000US261635250002
221,70,78,0,0,0,28,45,40,5,1500000US261635250003
839,320,231,13,0,0,242,33,1,32,1500000US261635254001
461,253,197,4,0,0,0,7,0,7,1500000US261635254002
1069,202,819,0,0,0,34,14,0,14,1500000US261635254003
648,83,263,5,6,0,149,142,0,142,1500000US261635255001
529,102,130,0,0,0,153,144,0,144,1500000US261635255002
618,354,26,0,0,0,238,0,0,0,1500000US261635256001
933,557,127,0,0,0,201,48,48,0,1500000US261635256002
1808,1373,27,0,0,0,382,26,14,12,1500000US261635257001
797,628,0,0,0,0,169,0,0,0,1500000US261635257002
1971,1414,108,64,0,0,363,22,0,22,1500000US261635257003
796,549,24,0,0,0,113,110,0,110,1500000US261635257004
761,331,156,0,0,0,274,0,0,0,1500000US261635258001
1285,643,179,0,0,0,386,77,13,64,1500000US261635258002
1718,1357,35,0,8,0,158,160,20,140,1500000US261635260001
1404,1041,109,0,0,0,193,61,8,53,1500000US261635260002
1013,875,13,0,0,0,21,104,0,104,1500000US261635261001
2183,1743,43,0,0,0,358,39,0,39,1500000US261635261002
1611,1337,85,0,0,0,142,47,11,36,1500000US261635262001
866,786,18,0,0,0,43,19,19,0,1500000US261635262002
808,483,21,0,0,0,291,13,0,13,1500000US261635262003
974,738,47,0,0,0,189,0,0,0,1500000US261635263001
860,546,36,0,0,0,277,1,0,1,1500000US261635263002
1851,1446,193,0,0,0,199,13,7,6,1500000US261635263003
694,583,12,0,0,0,99,0,0,0,1500000US261635264001
662,327,194,0,0,0,141,0,0,0,1500000US261635264002
389,79,242,0,0,0,12,56,56,0,1500000US261635265001
1132,137,804,0,0,0,191,0,0,0,1500000US261635265002
300,12,219,0,0,0,69,0,0,0,1500000US261635265003
494,15,443,0,0,0,12,24,0,24,1500000US261635272001
155,25,130,0,0,0,0,0,0,0,1500000US261635272002
399,61,338,0,0,0,0,0,0,0,1500000US261635273001
615,64,486,0,0,0,0,65,0,65,1500000US261635273002
704,0,704,0,0,0,0,0,0,0,1500000US261635301001
366,0,366,0,0,0,0,0,0,0,1500000US261635301002
771,79,655,0,0,0,0,37,0,37,1500000US261635301003
330,0,330,0,0,0,0,0,0,0,1500000US261635301004
1389,40,1339,0,0,0,0,10,0,10,1500000US261635302001
921,84,837,0,0,0,0,0,0,0,1500000US261635302002
139,0,139,0,0,0,0,0,0,0,1500000US261635302003
1509,524,793,0,165,0,0,27,13,14,1500000US261635302004
340,0,340,0,0,0,0,0,0,0,1500000US261635302005
281,0,281,0,0,0,0,0,0,0,1500000US261635303001
329,0,329,0,0,0,0,0,0,0,1500000US261635303002
702,45,642,0,0,0,0,15,0,15,1500000US261635303003
398,28,370,0,0,0,0,0,0,0,1500000US261635304001
647,33,614,0,0,0,0,0,0,0,1500000US261635304002
490,17,466,0,0,0,0,7,0,7,1500000US261635305001
890,34,854,2,0,0,0,0,0,0,1500000US261635305002
435,7,428,0,0,0,0,0,0,0,1500000US261635305003
321,46,256,8,0,0,0,11,0,11,1500000US261635308001
495,48,447,0,0,0,0,0,0,0,1500000US261635308002
298,0,298,0,0,0,0,0,0,0,1500000US261635308003
417,1,416,0,0,0,0,0,0,0,1500000US261635308004
535,13,522,0,0,0,0,0,0,0,1500000US261635309001
854,46,777,0,0,0,14,17,17,0,1500000US261635309002
237,0,237,0,0,0,0,0,0,0,1500000US261635309003
578,79,483,0,11,0,0,5,5,0,1500000US261635311001
373,8,365,0,0,0,0,0,0,0,1500000US261635311002
902,84,779,21,7,0,0,11,0,11,1500000US261635312001
