Estimate!!Total,GEO_ID
556,1500000US261635528001
530,1500000US261635528002
822,1500000US261635528003
1501,1500000US261635528004
1546,1500000US261635528005
593,1500000US261635530001
413,1500000US261635530002
111,1500000US261635531001
952,1500000US261635531002
602,1500000US261635531003
381,1500000US261635532001
280,1500000US261635532002
778,1500000US261635533001
330,1500000US261635533002
366,1500000US261635534001
2232,1500000US261635534002
1282,1500000US261635536001
477,1500000US261635536002
513,1500000US261635536003
529,1500000US261635538001
471,1500000US261635538002
557,1500000US261635538003
742,1500000US261635541001
1151,1500000US261635541002
582,1500000US261635541003
1477,1500000US261635541004
866,1500000US261635542001
517,1500000US261635542002
1437,1500000US261635542003
425,1500000US261635542004
467,1500000US261635543001
945,1500000US261635543002
969,1500000US261635543003
800,1500000US261635543004
1514,1500000US261635543005
802,1500000US261635544001
1118,1500000US261635544002
538,1500000US261635544003
713,1500000US261635544004
1231,1500000US261635545001
1494,1500000US261635545002
986,1500000US261635546001
1241,1500000US261635546002
436,1500000US261635546003
985,1500000US261635546004
970,1500000US261635547001
618,1500000US261635547002
1331,1500000US261635547003
366,1500000US261635548001
759,1500000US261635548002
891,1500000US261635548003
1366,1500000US261635548004
1371,1500000US261635549001
571,1500000US261635549002
1656,1500000US261635549003
602,1500000US261635551001
728,1500000US261635551002
1814,1500000US261635551003
1398,1500000US261635551004
1760,1500000US261635553001
1347,1500000US261635553002
705,1500000US261635554001
700,1500000US261635554002
979,1500000US261635554003
1711,1500000US261635555001
1200,1500000US261635555002
949,1500000US261635556001
1850,1500000US261635556002
593,1500000US261635561001
733,1500000US261635561002
1029,1500000US261635561003
932,1500000US261635561004
1110,1500000US261635562001
669,1500000US261635562002
945,1500000US261635562003
789,1500000US261635563001
923,1500000US261635563002
1604,1500000US261635563003
1212,1500000US261635564001
683,1500000US261635564002
2451,1500000US261635564003
2187,1500000US261635565001
783,1500000US261635566001
1294,1500000US261635566002
1440,1500000US261635566003
1040,1500000US261635567001
1516,1500000US261635567002
835,1500000US261635568001
927,1500000US261635568002
1104,1500000US261635569001
1599,1500000US261635569002
1164,1500000US261635569003
1125,1500000US261635570001
931,1500000US261635570002
1171,1500000US261635570003
629,1500000US261635571001
799,1500000US261635571002
1054,1500000US261635571003
685,1500000US261635572001
1365,1500000US261635572002
791,1500000US261635573001
1439,1500000US261635573002
1331,1500000US261635574001
1813,1500000US261635574002
1068,1500000US261635575001
1231,1500000US261635575002
931,1500000US261635575003
730,1500000US261635575004
1366,1500000US261635576001
811,1500000US261635576002
610,1500000US261635576003
1037,1500000US261635577001
1196,1500000US261635577002
943,1500000US261635577003
1012,1500000US261635577004
1526,1500000US261635579001
1082,1500000US261635579002
2118,1500000US261635579003
1041,1500000US261635580001
1391,1500000US261635580002
1071,1500000US261635580003
692,1500000US261635580004
1354,1500000US261635581001
1123,1500000US261635581002
916,1500000US261635581003
1122,1500000US261635582001
713,1500000US261635582002
1097,1500000US261635582003
1567,1500000US261635582004
919,1500000US261635583001
820,1500000US261635583002
1322,1500000US261635584001
1187,1500000US261635584002
1521,1500000US261635584003
779,1500000US261635585001
776,1500000US261635585002
1517,1500000US261635585003
889,1500000US261635585004
967,1500000US261635586001
820,1500000US261635586002
713,1500000US261635587001
875,1500000US261635587002
1050,1500000US261635587003
1316,1500000US261635588001
1259,1500000US261635588002
954,1500000US261635589001
837,1500000US261635589002
695,1500000US261635590001
681,1500000US261635590002
1346,1500000US261635590003
1737,1500000US261635591001
684,1500000US261635591002
1154,1500000US261635592001
988,1500000US261635592002
1233,1500000US261635601001
991,1500000US261635601002
470,1500000US261635601003
990,1500000US261635602001
655,1500000US261635602002
2161,1500000US261635602003
1391,1500000US261635602004
1165,1500000US261635603001
1486,1500000US261635603002
667,1500000US261635603003
2594,1500000US261635604001
1577,1500000US261635604002
760,1500000US261635604003
441,1500000US261635604004
643,1500000US261635604005
3566,1500000US261635612001
3393,1500000US261635612002
6436,1500000US261635613001
1144,1500000US261635613002
1093,1500000US261635616001
998,1500000US261635616002
1574,1500000US261635616003
12,1500000US261635617001
2211,1500000US261635617002
2844,1500000US261635619001
2641,1500000US261635619002
1392,1500000US261635619003
1051,1500000US261635623001
1209,1500000US261635623002
1251,1500000US261635624001
1886,1500000US261635624002
974,1500000US261635624003
1133,1500000US261635624004
696,1500000US261635625001
1138,1500000US261635625002
1253,1500000US261635626001
745,1500000US261635626002
1761,1500000US261635626003
1445,1500000US261635627001
788,1500000US261635627002
1298,1500000US261635627003
1212,1500000US261635628001
1585,1500000US261635628002
616,1500000US261635628003
1119,1500000US261635629001
1051,1500000US261635629002
1213,1500000US261635629003
1487,1500000US261635632001
1650,1500000US261635632002
952,1500000US261635633001
1871,1500000US261635633002
975,1500000US261635634001
699,1500000US261635634002
1583,1500000US261635634003
1747,1500000US261635634004
2423,1500000US261635635001
2408,1500000US261635635002
1145,1500000US261635635003
1956,1500000US261635636001
1056,1500000US261635637001
673,1500000US261635637002
2351,1500000US261635638001
764,1500000US261635638002
2315,1500000US261635639001
261,1500000US261635640001
1702,1500000US261635640002
1334,1500000US261635641001
937,1500000US261635641002
2095,1500000US261635641003
765,1500000US261635642001
2200,1500000US261635642002
1167,1500000US261635642003
1614,1500000US261635643001
914,1500000US261635643002
4020,1500000US261635644011
1295,1500000US261635644012
5678,1500000US261635644021
4979,1500000US261635645011
1746,1500000US261635645021
2012,1500000US261635645022
1816,1500000US261635645031
1654,1500000US261635645032
7404,1500000US261635645041
1450,1500000US261635646001
1689,1500000US261635646002
2982,1500000US261635646003
2170,1500000US261635647001
2327,1500000US261635647002
954,1500000US261635648001
2623,1500000US261635648002
1084,1500000US261635648003
1904,1500000US261635649001
1209,1500000US261635650001
1378,1500000US261635650002
2502,1500000US261635650003
1149,1500000US261635651001
2366,1500000US261635651002
3079,1500000US261635652001
1364,1500000US261635652002
878,1500000US261635652003
2127,1500000US261635653001
1703,1500000US261635653002
2239,1500000US261635653003
1315,1500000US261635656001
796,1500000US261635656002
1716,1500000US261635657001
1410,1500000US261635657002
1245,1500000US261635658001
1463,1500000US261635658002
842,1500000US261635658003
1643,1500000US261635659001
970,1500000US261635659002
506,1500000US261635664001
409,1500000US261635664002
936,1500000US261635665001
1399,1500000US261635665002
555,1500000US261635666001
1412,1500000US261635666002
577,1500000US261635667001
1862,1500000US261635667002
1708,1500000US261635667003
914,1500000US261635668001
711,1500000US261635668002
1062,1500000US261635668003
1114,1500000US261635669001
1334,1500000US261635669002
1158,1500000US261635669003
1319,1500000US261635669004
1520,1500000US261635670001
