Median age,Median age - Male,Median age - Female,id
48.9,48.5,58.1,1500000US261635318002
32.3,22.5,40.2,1500000US261635318003
38.1,35.2,39.9,1500000US261635319001
23.1,24.7,22,1500000US261635319002
40.6,48,35.9,1500000US261635322001
48.6,48.7,48.5,1500000US261635322002
53.1,53.1,53.1,1500000US261635323001
40.3,40.4,32.7,1500000US261635324001
43.8,41.2,46.3,1500000US261635324002
26.6,22.4,28.5,1500000US261635324003
43.5,48.4,42.1,1500000US261635326001
40.2,33.4,40.6,1500000US261635326002
32.2,29.7,36.5,1500000US261635326003
44.1,47.9,38.8,1500000US261635327001
28.6,54.2,25.3,1500000US261635327002
31.6,39.1,31.1,1500000US261635330001
44.1,41.4,48.6,1500000US261635330002
38.4,27.8,38.5,1500000US261635331001
54,59.9,51.9,1500000US261635331002
39.6,39.8,37,1500000US261635331003
50.8,42.7,59.4,1500000US261635332001
48,54.4,43,1500000US261635332002
39.8,37.1,58.1,1500000US261635332003
62.6,60.9,82.5,1500000US261635333001
34.6,34.9,34.3,1500000US261635333002
26.4,26.5,21.9,1500000US261635334001
43.6,45.2,34.5,1500000US261635334002
54.6,59.8,-,1500000US261635334003
22.6,58.1,22,1500000US261635334004
54.2,37.5,63.4,1500000US261635334005
40.1,31,40.3,1500000US261635335001
29.4,28.2,38.4,1500000US261635335002
42.3,39.6,45.3,1500000US261635336001
46.3,46.8,45.5,1500000US261635336002
35.1,28.6,37.9,1500000US261635336003
49.1,37,49.6,1500000US261635337001
46,45.8,58.5,1500000US261635337002
41.7,43.5,41.4,1500000US261635339001
30.5,31,30.3,1500000US261635339002
34.6,33.2,35.9,1500000US261635339003
47,39.8,51.8,1500000US261635341001
52.7,47.4,55.2,1500000US261635341002
30.6,25.1,33.4,1500000US261635341003
36,32,44,1500000US261635342001
35.2,24.2,39.3,1500000US261635342002
30.2,15.3,38.1,1500000US261635342003
19.3,55.6,14.9,1500000US261635342004
38.1,31.8,38.6,1500000US261635342005
22.5,26.1,22.4,1500000US261635343001
31.5,31.8,31,1500000US261635343002
35.3,35.2,36.2,1500000US261635344001
28.8,24.2,35.1,1500000US261635344002
32,22.2,47.2,1500000US261635345001
40.6,22.6,57,1500000US261635345002
36.1,20.8,36.4,1500000US261635346001
54.7,43.3,55.7,1500000US261635346002
19.3,23.5,19.1,1500000US261635346003
32.1,24.3,32.9,1500000US261635347001
45.4,45.4,45.4,1500000US261635347002
