Total:,Not Hispanic or Latino,Hispanic or Latino,GEO_ID
552,337,215,1500000US261635248001
666,666,0,1500000US261635248002
435,363,72,1500000US261635248003
242,242,0,1500000US261635248004
737,737,0,1500000US261635248005
749,289,460,1500000US261635249001
430,223,207,1500000US261635249002
0,0,0,1500000US261635250001
411,369,42,1500000US261635250002
221,146,75,1500000US261635250003
839,392,447,1500000US261635254001
461,222,239,1500000US261635254002
1069,985,84,1500000US261635254003
648,451,197,1500000US261635255001
529,292,237,1500000US261635255002
618,108,510,1500000US261635256001
933,207,726,1500000US261635256002
1808,168,1640,1500000US261635257001
797,67,730,1500000US261635257002
1971,374,1597,1500000US261635257003
796,519,277,1500000US261635257004
761,207,554,1500000US261635258001
1285,482,803,1500000US261635258002
1718,1319,399,1500000US261635260001
1404,666,738,1500000US261635260002
1013,772,241,1500000US261635261001
2183,1449,734,1500000US261635261002
1611,986,625,1500000US261635262001
866,197,669,1500000US261635262002
808,149,659,1500000US261635262003
974,86,888,1500000US261635263001
860,88,772,1500000US261635263002
1851,471,1380,1500000US261635263003
694,113,581,1500000US261635264001
662,194,468,1500000US261635264002
389,242,147,1500000US261635265001
1132,796,336,1500000US261635265002
300,219,81,1500000US261635265003
494,482,12,1500000US261635272001
155,111,44,1500000US261635272002
399,338,61,1500000US261635273001
615,507,108,1500000US261635273002
704,704,0,1500000US261635301001
366,366,0,1500000US261635301002
771,771,0,1500000US261635301003
330,330,0,1500000US261635301004
1389,1389,0,1500000US261635302001
921,897,24,1500000US261635302002
139,139,0,1500000US261635302003
1509,1468,41,1500000US261635302004
340,340,0,1500000US261635302005
281,281,0,1500000US261635303001
329,329,0,1500000US261635303002
702,702,0,1500000US261635303003
398,398,0,1500000US261635304001
647,647,0,1500000US261635304002
490,490,0,1500000US261635305001
890,890,0,1500000US261635305002
435,435,0,1500000US261635305003
321,316,5,1500000US261635308001
495,495,0,1500000US261635308002
298,292,6,1500000US261635308003
417,417,0,1500000US261635308004
535,535,0,1500000US261635309001
854,840,14,1500000US261635309002
237,237,0,1500000US261635309003
578,568,10,1500000US261635311001
373,373,0,1500000US261635311002
902,902,0,1500000US261635312001
407,389,18,1500000US261635312002
1267,1261,6,1500000US261635312003
481,481,0,1500000US261635313001
563,563,0,1500000US261635313002
380,380,0,1500000US261635314001
826,814,12,1500000US261635314002
417,417,0,1500000US261635315001
938,938,0,1500000US261635315002
1197,1140,57,1500000US261635315003
163,163,0,1500000US261635315004
761,760,1,1500000US261635316001
1094,1071,23,1500000US261635316002
648,648,0,1500000US261635317001
905,905,0,1500000US261635317002
350,350,0,1500000US261635318001
477,477,0,1500000US261635318002
454,454,0,1500000US261635318003
178,152,26,1500000US261635319001
726,719,7,1500000US261635319002
322,322,0,1500000US261635322001
877,815,62,1500000US261635322002
727,727,0,1500000US261635323001
301,281,20,1500000US261635324001
613,606,7,1500000US261635324002
498,498,0,1500000US261635324003
641,641,0,1500000US261635326001
1086,1058,28,1500000US261635326002
242,236,6,1500000US261635326003
413,413,0,1500000US261635327001
201,201,0,1500000US261635327002
713,713,0,1500000US261635330001
921,903,18,1500000US261635330002
634,634,0,1500000US261635331001
512,512,0,1500000US261635331002
281,281,0,1500000US261635331003
214,214,0,1500000US261635332001
295,295,0,1500000US261635332002
318,312,6,1500000US261635332003
